text
"Low amplitude, low noise and high frequency section presenting diverging seismic pattern."
"2D seismic model characterized by divergent foreset reflections with low noise, low amplitude and high frequency."
"2D seismic model presenting differentially dipping reflectors presenting low noise, high frequency and low amplitude."
"A 2D seismic model containing flaring reflection geometry with low amplitude, high frequency and low noise."
"A slice with a parallel geometry presenting low amplitude, high noise and high frequency."
"Seismic section presenting a planar geometry of low amplitude, high frequency and high noise."
"High noise, high frequency and low amplitude seismic image featuring a parallel-bedded strata."
Subsurface representation exhibiting internal structuraly disturbed reflexions with high frequency and low amplitude.
2D seismic model featuring chaotic reflections of low amplitude and high frequency.
2D section exhibiting chaotic internal geometry presenting low amplitude and high frequency.
A 2D seismic model of chaotic internal geometry of high frequency and low amplitude.
Seismic model containing chaotic reflections with high frequency and low amplitude.
A high frequency and low amplitude section with chaotic reflections.
A subsurface model characterized by undefined internal geometry with high frequency and low amplitude.
"High frequency, low noise and low amplitude section exhibiting a sigmoid."
"A 2D section characterized by a sigmoidal clinoform set of low noise, high frequency and low amplitude."
"A 2D seismic model exhibiting a sigmoid presenting high frequency, low amplitude and low noise."
"Low noise, high frequency and low amplitude subsurface model of a clinoform."
"A seismic model featuring progradational geometry presenting low noise, low amplitude and high frequency."
"High frequency, high noise and low amplitude seismic section exhibiting a tabular reflection pattern."
"A subsurface model containing a tabular reflection pattern with high noise, high frequency and low amplitude."
"Section containing a parallel-bedded strata of high frequency, high noise and low amplitude."
"A high frequency, low amplitude and high noise 2D seismic model with a parallel-laminated unit."
"A section presenting an uniform layering pattern with high noise, low amplitude and high frequency."
"A seismic image presenting a parallel-bedded strata of high frequency, low amplitude and high noise."
"A section characterized by continuous horizontal reflections presenting high noise, high frequency and low amplitude."
"A 2D seismic model containing an oblique clinoform pattern presenting low amplitude, low noise and high frequency."
"A seismic section of a clinoform of high frequency, low amplitude and low noise."
"High frequency, low amplitude and low noise 2D section presenting forward-prograding geometry."
"A 2D section containing a clinoform of high frequency, low amplitude and low noise."
"A high frequency, low noise and low amplitude seismic image featuring an oblique clinoform pattern."
"A slice of thickening wedge pattern presenting low noise, low amplitude and high frequency."
"A slice containing a divergent bedform geometry of high frequency, low noise and low amplitude."
Slice characterized by chaotic reflections presenting low amplitude and high frequency.
A section with internal structuraly disturbed reflexions with high frequency and low amplitude.
Seismic section containing a chaotic pattern with low amplitude and high frequency.
A seismic image of internal structuraly disturbed reflexions with high frequency and low amplitude.
A seismic image with an undefined seismic structure with high frequency and low amplitude.
A low amplitude and high frequency subsurface model characterized by chaotic reflections.
A seismic model of internal structuraly disturbed reflexions with low amplitude and high frequency.
A high frequency and low amplitude subsurface representation with chaotic internal geometry.
"A low noise, high frequency and low amplitude 2D section with an oblique clinoform pattern."
"Low noise, low amplitude and high frequency seismic image featuring an oblique clinoform pattern."
Section featuring diverging seismic pattern of.
A subsurface model of diverging seismic pattern with.
A seismic section featuring divergent foreset reflections with.
A section of diverging seismic pattern.
A section featuring thickening wedge pattern with.
"Low noise, high frequency and low amplitude 2D subsurface model of forward-prograding geometry."
"A slice of forward-prograding geometry with low amplitude, low noise and high frequency."
"A seismic model with a sigmoid of low amplitude, low noise and high frequency."
"A section characterized by progradational geometry of low amplitude, high frequency and low noise."
A seismic model of a spreading stratigraphic unit presenting.
Slice of diverging seismic pattern.
Section presenting a spreading stratigraphic unit of.
A seismic image with differentially dipping reflectors.
Subsurface representation characterized by thickening wedge pattern presenting.
"Seismic image presenting progradational geometry with low amplitude, high frequency and low noise."
"A subsurface model exhibiting a sigmoid presenting low amplitude, high frequency and low noise."
"Low noise, high frequency and low amplitude 2D seismic model presenting progradational geometry."
"A slice containing a parallel geometry presenting low amplitude, high noise and high frequency."
"Seismic section featuring a tabular reflection pattern presenting high noise, low amplitude and high frequency."
"A 2D subsurface model of continuous horizontal reflections with high noise, low amplitude and high frequency."
"2D subsurface model featuring continuous horizontal reflections of high noise, low amplitude and high frequency."
"A slice characterized by concordant seismic layering of low amplitude, high noise and high frequency."
"A high noise, high frequency and low amplitude 2D subsurface model characterized by a planar geometry."
"High noise, low amplitude and high frequency slice presenting laterally uniform bedding."
"High frequency, high noise and low amplitude subsurface representation presenting an uniform layering pattern."
"Seismic image characterized by concordant seismic layering presenting low amplitude, high frequency and high noise."
"A slice exhibiting an uniform layering pattern of low amplitude, high frequency and high noise."
"2D subsurface model of a parallel geometry of high noise, low amplitude and high frequency."
"Slice with a tabular reflection pattern with high frequency, low amplitude and high noise."
"High noise, high frequency and low amplitude seismic model characterized by a planar geometry."
"High frequency, low amplitude and high noise seismic section exhibiting a parallel-bedded strata."
"A 2D subsurface model of a planar geometry with low amplitude, high frequency and high noise."
"A seismic model presenting a parallel geometry with high frequency, low amplitude and high noise."
"2D seismic model characterized by a parallel geometry presenting high frequency, low amplitude and high noise."
"A section presenting a parallel geometry presenting high frequency, low amplitude and high noise."
A 2D section characterized by a chaotic pattern presenting low amplitude.
A slice of an undefined seismic structure presenting low amplitude.
A subsurface representation with chaotic internal geometry with low amplitude.
Low amplitude 2D subsurface model with an undefined seismic structure.
Seismic image characterized by undefined internal geometry presenting low amplitude.
Subsurface representation exhibiting a chaotic pattern presenting low amplitude.
A low amplitude subsurface model exhibiting undefined internal geometry.
"A 2D subsurface model exhibiting an horizontally layered sequence of high frequency, high noise and low amplitude."
"Seismic section exhibiting a parallel-bedded strata of high noise, low amplitude and high frequency."
"2D section of laterally uniform bedding of high noise, high frequency and low amplitude."
"A section presenting a tabular reflection pattern with low amplitude, high noise and high frequency."
"A high noise, high frequency and low amplitude 2D seismic model containing laterally uniform bedding."
"A 2D subsurface model exhibiting laterally uniform bedding presenting high noise, high frequency and low amplitude."
"Subsurface representation exhibiting laterally uniform bedding of high frequency, high noise and low amplitude."
"Seismic image characterized by a parallel-laminated unit with low amplitude, high frequency and high noise."
"High frequency, high noise and low amplitude slice exhibiting concordant seismic layering."
"A 2D seismic model characterized by an horizontally layered sequence presenting high noise, high frequency and low amplitude."
"Seismic model of a parallel-laminated unit of high frequency, low amplitude and high noise."
"Subsurface model exhibiting an horizontally layered sequence presenting low amplitude, high frequency and high noise."
"High noise, low amplitude and high frequency section characterized by concordant seismic layering."
"A low amplitude, high noise and high frequency seismic section featuring concordant seismic layering."
A high frequency and low amplitude 2D seismic model of internal structuraly disturbed reflexions.
2D section presenting chaotic internal geometry of low amplitude and high frequency.
A high frequency and low amplitude section of undefined internal geometry.
A seismic model with undefined internal geometry presenting high frequency and low amplitude.
A 2D seismic model containing chaotic internal geometry presenting low amplitude and high frequency.
A seismic image presenting a fanning reflection geometry.
Subsurface model featuring diverging seismic pattern of.
A subsurface model presenting flaring reflection geometry with.
A seismic image of differentially dipping reflectors of.
A seismic image characterized by a fanning reflection geometry.
A slice containing divergent foreset reflections of.
Subsurface representation exhibiting a spreading stratigraphic unit.
2D subsurface model containing a spreading stratigraphic unit presenting.
Seismic model containing a fanning reflection geometry.
A subsurface model featuring a spreading stratigraphic unit of.
A seismic section presenting an undefined seismic structure of low amplitude and high frequency.
Seismic model exhibiting undefined internal geometry of high frequency and low amplitude.
A slice containing an undefined seismic structure with low amplitude and high frequency.
A seismic section of undefined internal geometry of low amplitude and high frequency.
A low amplitude and high frequency seismic section of internal structuraly disturbed reflexions.
A seismic section characterized by a chaotic pattern with high frequency and low amplitude.
Low amplitude and high frequency 2D subsurface model featuring an undefined seismic structure.
"A high frequency, low noise and low amplitude seismic model characterized by a sigmoidal clinoform set."
"Seismic section presenting a sigmoid with low noise, high frequency and low amplitude."
2D seismic model exhibiting a chaotic pattern of high frequency and low amplitude.
A seismic image with undefined internal geometry with low amplitude and high frequency.
Section with undefined internal geometry with low amplitude and high frequency.
A 2D section with an undefined seismic structure with high frequency and low amplitude.
"A subsurface representation featuring an oblique clinoform pattern presenting high frequency, low noise and low amplitude."
"Subsurface representation with a sigmoidal clinoform set with low amplitude, low noise and high frequency."
"A low noise, high frequency and low amplitude section presenting a sigmoid."
"A high frequency, low amplitude and low noise subsurface model containing a sigmoid."
"A 2D seismic model with progradational geometry of low amplitude, low noise and high frequency."
"A high frequency, low amplitude and low noise seismic image containing a clinoform."
"A high frequency, low amplitude and high noise slice characterized by continuous horizontal reflections."
"A seismic model characterized by an horizontally layered sequence of high noise, high frequency and low amplitude."
"A low amplitude, high frequency and high noise seismic model with an horizontally layered sequence."
"High noise, high frequency and low amplitude 2D section characterized by a parallel geometry."
"A subsurface representation exhibiting laterally uniform bedding with high frequency, high noise and low amplitude."
"2D seismic model presenting an oblique clinoform pattern with high frequency, low amplitude and low noise."
"A 2D subsurface model exhibiting a clinoform of low amplitude, high frequency and low noise."
"A 2D subsurface model with an oblique clinoform pattern presenting low amplitude, low noise and high frequency."
"Low amplitude, high frequency and high noise seismic section of an horizontally layered sequence."
"Seismic model with a parallel geometry with high frequency, low amplitude and high noise."
"Seismic image featuring concordant seismic layering of high noise, low amplitude and high frequency."
"A high frequency, high noise and low amplitude 2D section presenting an horizontally layered sequence."
"A high noise, high frequency and low amplitude slice exhibiting a parallel-laminated unit."
"Seismic model exhibiting a parallel geometry of low amplitude, high frequency and high noise."
A seismic section containing internal structuraly disturbed reflexions of low amplitude and high frequency.
Subsurface representation of chaotic reflections presenting low amplitude and high frequency.
"High noise, low amplitude and high frequency seismic image with a tabular reflection pattern."
"A slice exhibiting a parallel-bedded strata of high noise, high frequency and low amplitude."
"Subsurface representation exhibiting continuous horizontal reflections of high frequency, high noise and low amplitude."
"A slice characterized by a clinoform of low amplitude, high frequency and low noise."
"A seismic model exhibiting an oblique clinoform pattern with low amplitude, high frequency and low noise."
A seismic image characterized by a spreading stratigraphic unit of.
A section with differentially dipping reflectors with.
"2D section exhibiting an oblique clinoform pattern presenting low amplitude, low noise and high frequency."
"2D section featuring a sigmoidal clinoform set presenting low amplitude, high frequency and low noise."
"Low noise, high frequency and low amplitude section containing a sigmoidal clinoform set."
"A 2D section exhibiting progradational geometry presenting low amplitude, high frequency and low noise."
"2D subsurface model characterized by progradational geometry with high frequency, low amplitude and low noise."
"Section characterized by a planar geometry with high noise, low amplitude and high frequency."
"A section containing an horizontally layered sequence presenting high noise, low amplitude and high frequency."
"Slice presenting a parallel geometry with high noise, low amplitude and high frequency."
"A subsurface representation of a tabular reflection pattern presenting high frequency, low amplitude and high noise."
"2D section with laterally uniform bedding of low amplitude, high frequency and high noise."
"A subsurface representation of continuous horizontal reflections of low amplitude, high noise and high frequency."
A 2D section presenting chaotic internal geometry presenting low amplitude and high frequency.
Slice exhibiting a chaotic pattern with high frequency and low amplitude.
A low amplitude and high frequency seismic image of chaotic reflections.
Seismic model containing an undefined seismic structure of low amplitude and high frequency.
"A section featuring a spreading stratigraphic unit of high frequency, low noise and low amplitude."
"A seismic model presenting a fanning reflection geometry with low noise, high frequency and low amplitude."
"A low amplitude, high frequency and low noise 2D subsurface model containing differentially dipping reflectors."
"A low noise, high frequency and low amplitude seismic section containing a fanning reflection geometry."
"A slice characterized by continuous horizontal reflections presenting high frequency, high noise and low amplitude."
"Subsurface representation of a tabular reflection pattern with low amplitude, high noise and high frequency."
"A high noise, low amplitude and high frequency seismic image with a parallel-laminated unit."
"A seismic section containing a tabular reflection pattern presenting high noise, low amplitude and high frequency."
"A subsurface representation presenting a parallel-laminated unit with high noise, low amplitude and high frequency."
Seismic section featuring chaotic reflections of high frequency and low amplitude.
Seismic model characterized by chaotic internal geometry with high frequency and low amplitude.
A subsurface model exhibiting chaotic internal geometry presenting low amplitude and high frequency.
A high frequency and low amplitude 2D subsurface model presenting an undefined seismic structure.
A seismic section featuring undefined internal geometry presenting high frequency and low amplitude.
Seismic image exhibiting chaotic internal geometry presenting high frequency and low amplitude.
"A low amplitude, high noise and high frequency 2D seismic model exhibiting a parallel-laminated unit."
"A 2D seismic model containing a tabular reflection pattern with high frequency, low amplitude and high noise."
"2D section of a planar geometry with low amplitude, high frequency and high noise."
"A section featuring an horizontally layered sequence with high noise, low amplitude and high frequency."
"Seismic image featuring concordant seismic layering presenting high frequency, high noise and low amplitude."
"Seismic image exhibiting laterally uniform bedding with high frequency, low amplitude and high noise."
"Low amplitude, high frequency and low noise subsurface representation with a clinoform."
"2D seismic model with a clinoform with low noise, low amplitude and high frequency."
Seismic model featuring flaring reflection geometry with.
A 2D section exhibiting flaring reflection geometry of.
2D subsurface model featuring a divergent bedform geometry.
Subsurface model characterized by a divergent bedform geometry.
A seismic image presenting thickening wedge pattern presenting.
Subsurface representation of a spreading stratigraphic unit presenting.
Subsurface model with flaring reflection geometry presenting.
2D section characterized by flaring reflection geometry presenting.
2D seismic model characterized by divergent foreset reflections presenting.
"Subsurface representation with an oblique clinoform pattern presenting low noise, high frequency and low amplitude."
"Subsurface representation characterized by forward-prograding geometry of low amplitude, high frequency and low noise."
"A slice featuring a parallel geometry presenting high frequency, low amplitude and high noise."
"Seismic model of a parallel geometry with high frequency, low amplitude and high noise."
"2D subsurface model characterized by laterally uniform bedding with low amplitude, high frequency and high noise."
"High frequency, high noise and low amplitude seismic image featuring laterally uniform bedding."
"A low amplitude, high noise and high frequency subsurface representation exhibiting a parallel geometry."
"A seismic section presenting a parallel geometry with high frequency, low amplitude and high noise."
"2D seismic model presenting a parallel-laminated unit of high noise, high frequency and low amplitude."
"Section with progradational geometry presenting low noise, low amplitude and high frequency."
"High frequency, low noise and low amplitude seismic image featuring forward-prograding geometry."
"Low amplitude, high frequency and low noise 2D subsurface model exhibiting an oblique clinoform pattern."
"2D seismic model exhibiting a sigmoid presenting low noise, low amplitude and high frequency."
"Low amplitude, high frequency and low noise subsurface representation with a sigmoid."
"A 2D seismic model characterized by progradational geometry of low amplitude, low noise and high frequency."
"High noise, low amplitude and high frequency 2D seismic model of concordant seismic layering."
"A subsurface representation of a parallel-laminated unit presenting high noise, high frequency and low amplitude."
"High frequency, low amplitude and high noise 2D section exhibiting a parallel geometry."
"Seismic image exhibiting a parallel-bedded strata presenting high noise, high frequency and low amplitude."
"A low amplitude, high noise and high frequency seismic image with laterally uniform bedding."
"A subsurface model exhibiting concordant seismic layering with high frequency, high noise and low amplitude."
"2D section featuring concordant seismic layering with high noise, high frequency and low amplitude."
"Section with a parallel geometry with low amplitude, high noise and high frequency."
"A seismic image featuring a planar geometry with high noise, high frequency and low amplitude."
"A seismic section of an horizontally layered sequence presenting low amplitude, high frequency and high noise."
"A 2D seismic model featuring concordant seismic layering with high noise, low amplitude and high frequency."
"A seismic section with an uniform layering pattern presenting high noise, low amplitude and high frequency."
"A slice exhibiting forward-prograding geometry of low noise, low amplitude and high frequency."
"2D subsurface model featuring a sigmoidal clinoform set of low amplitude, low noise and high frequency."
"A section exhibiting a sigmoidal clinoform set with low noise, high frequency and low amplitude."
Seismic section featuring differentially dipping reflectors of.
Subsurface representation characterized by flaring reflection geometry of.
A slice exhibiting a spreading stratigraphic unit.
Section of internal structuraly disturbed reflexions of high frequency and low amplitude.
A seismic image with a chaotic pattern with low amplitude and high frequency.
2D subsurface model containing chaotic reflections of high frequency and low amplitude.
Low amplitude and high frequency 2D seismic model containing internal structuraly disturbed reflexions.
A section exhibiting chaotic internal geometry with low amplitude and high frequency.
2D subsurface model with chaotic internal geometry with high frequency and low amplitude.
A 2D section featuring chaotic internal geometry of low amplitude.
Seismic model presenting chaotic reflections with low amplitude.
A 2D section of chaotic reflections presenting low amplitude.
2D section presenting an undefined seismic structure with low amplitude.
Low amplitude 2D subsurface model exhibiting a chaotic pattern.
A low amplitude section featuring undefined internal geometry.
Low amplitude 2D subsurface model containing a chaotic pattern.
High frequency and low amplitude seismic section characterized by undefined internal geometry.
A seismic section characterized by a chaotic pattern presenting high frequency and low amplitude.
High frequency and low amplitude seismic section with undefined internal geometry.
"Subsurface model containing a sigmoid presenting high frequency, low noise and low amplitude."
"Slice characterized by an oblique clinoform pattern of low noise, low amplitude and high frequency."
"A 2D subsurface model characterized by forward-prograding geometry with low amplitude, high frequency and low noise."
"A high frequency, low noise and low amplitude slice featuring an oblique clinoform pattern."
"A section of progradational geometry with high frequency, low amplitude and low noise."
"Slice containing a sigmoid presenting high frequency, low noise and low amplitude."
"Seismic model containing progradational geometry of low noise, low amplitude and high frequency."
"Low noise, low amplitude and high frequency subsurface model exhibiting a sigmoidal clinoform set."
"Low noise, low amplitude and high frequency seismic model with a sigmoidal clinoform set."
"Low amplitude, low noise and high frequency subsurface representation featuring an oblique clinoform pattern."
"A low amplitude, high frequency and low noise seismic section exhibiting progradational geometry."
A 2D seismic model exhibiting undefined internal geometry presenting high frequency and low amplitude.
Slice of undefined internal geometry presenting high frequency and low amplitude.
Subsurface representation exhibiting a chaotic pattern presenting low amplitude and high frequency.
2D section presenting chaotic reflections with high frequency and low amplitude.
A subsurface representation containing internal structuraly disturbed reflexions presenting low amplitude and high frequency.
A 2D subsurface model of a fanning reflection geometry.
Seismic image presenting a fanning reflection geometry.
A subsurface model containing a spreading stratigraphic unit with.
Subsurface model of differentially dipping reflectors with.
Slice of flaring reflection geometry.
A seismic image with divergent foreset reflections with.
2D section presenting a divergent bedform geometry of.
A seismic section with flaring reflection geometry.
A subsurface representation containing divergent foreset reflections presenting.
Seismic section exhibiting a fanning reflection geometry with.
A slice exhibiting divergent foreset reflections with.
"Section of divergent foreset reflections with low amplitude, high frequency and low noise."
"A 2D section featuring a divergent bedform geometry with high frequency, low amplitude and low noise."
"2D subsurface model exhibiting a fanning reflection geometry presenting low noise, low amplitude and high frequency."
"A low amplitude, high frequency and low noise 2D subsurface model featuring a fanning reflection geometry."
"2D section with thickening wedge pattern of low noise, high frequency and low amplitude."
"A section characterized by diverging seismic pattern with low noise, low amplitude and high frequency."
"A seismic model featuring divergent foreset reflections of low amplitude, high frequency and low noise."
"Section with an horizontally layered sequence of low amplitude, high noise and high frequency."
"A section characterized by concordant seismic layering with high noise, high frequency and low amplitude."
"Subsurface representation exhibiting an uniform layering pattern presenting high noise, high frequency and low amplitude."
"A high frequency, low amplitude and high noise subsurface representation exhibiting a tabular reflection pattern."
"High frequency, high noise and low amplitude slice with continuous horizontal reflections."
"A high frequency, high noise and low amplitude seismic section presenting an uniform layering pattern."
"A 2D subsurface model of a parallel-laminated unit of low amplitude, high frequency and high noise."
A 2D seismic model characterized by chaotic internal geometry with low amplitude and high frequency.
A seismic model presenting undefined internal geometry of low amplitude and high frequency.
Seismic image of an undefined seismic structure of high frequency and low amplitude.
A low amplitude and high frequency slice presenting internal structuraly disturbed reflexions.
"A low amplitude, high frequency and low noise seismic image featuring a sigmoidal clinoform set."
"Seismic model featuring a clinoform presenting high frequency, low amplitude and low noise."
"A 2D section with a clinoform presenting low noise, high frequency and low amplitude."
"A seismic section of a sigmoid of low amplitude, high frequency and low noise."
"A 2D seismic model presenting a clinoform presenting high frequency, low noise and low amplitude."
"A section containing an oblique clinoform pattern of low noise, low amplitude and high frequency."
"Low noise, low amplitude and high frequency subsurface representation characterized by a sigmoidal clinoform set."
"A low amplitude, high noise and high frequency 2D section presenting a parallel geometry."
"A section containing concordant seismic layering presenting high noise, low amplitude and high frequency."
"A high noise, high frequency and low amplitude slice featuring a tabular reflection pattern."
"A section of concordant seismic layering of low amplitude, high frequency and high noise."
"Seismic image featuring a parallel-bedded strata of high noise, high frequency and low amplitude."
"Low amplitude, low noise and high frequency 2D seismic model containing an oblique clinoform pattern."
"A seismic section of a sigmoid of low noise, low amplitude and high frequency."
"Low noise, low amplitude and high frequency slice presenting a clinoform."
"A slice exhibiting a sigmoid of high frequency, low amplitude and low noise."
A low amplitude and high frequency subsurface representation featuring chaotic reflections.
A seismic section presenting internal structuraly disturbed reflexions presenting low amplitude and high frequency.
A section of undefined internal geometry of low amplitude and high frequency.
A seismic image containing undefined internal geometry with high frequency and low amplitude.
"Subsurface model with a parallel geometry presenting high noise, low amplitude and high frequency."
"Subsurface representation with an horizontally layered sequence with high frequency, high noise and low amplitude."
"Slice of continuous horizontal reflections with high noise, high frequency and low amplitude."
"A high frequency, high noise and low amplitude 2D seismic model of a parallel-bedded strata."
"A section with a sigmoidal clinoform set of low noise, low amplitude and high frequency."
"2D subsurface model of a sigmoid presenting low amplitude, low noise and high frequency."
"A 2D section exhibiting a sigmoidal clinoform set presenting low noise, low amplitude and high frequency."
"A subsurface model containing a sigmoidal clinoform set of high frequency, low noise and low amplitude."
"Subsurface representation with an oblique clinoform pattern with low noise, low amplitude and high frequency."
Seismic model with a spreading stratigraphic unit of.
Subsurface model of a spreading stratigraphic unit with.
A 2D section characterized by a fanning reflection geometry with.
Seismic image with a spreading stratigraphic unit of.
"A 2D seismic model with thickening wedge pattern presenting high frequency, low amplitude and low noise."
"Seismic model with differentially dipping reflectors of low amplitude, high frequency and low noise."
"A subsurface model with a divergent bedform geometry presenting low amplitude, high frequency and low noise."
"Low noise, high frequency and low amplitude seismic section exhibiting diverging seismic pattern."
"Low amplitude, high frequency and low noise slice containing a divergent bedform geometry."
"A high frequency, low noise and low amplitude subsurface model containing a divergent bedform geometry."
"A seismic section containing progradational geometry presenting low noise, low amplitude and high frequency."
"A subsurface representation featuring an oblique clinoform pattern presenting low amplitude, low noise and high frequency."
"Seismic image characterized by a clinoform with low amplitude, low noise and high frequency."
"Section containing a clinoform presenting low amplitude, high frequency and low noise."
"A high frequency, low amplitude and high noise seismic section presenting continuous horizontal reflections."
"A slice featuring a planar geometry of high frequency, high noise and low amplitude."
"2D seismic model with an uniform layering pattern of high noise, low amplitude and high frequency."
"A section characterized by divergent foreset reflections of high frequency, low amplitude and low noise."
"Seismic image with differentially dipping reflectors of low noise, low amplitude and high frequency."
"A subsurface representation with diverging seismic pattern presenting high frequency, low amplitude and low noise."
"A subsurface model featuring diverging seismic pattern presenting low amplitude, high frequency and low noise."
"A section of a fanning reflection geometry with low amplitude, high frequency and low noise."
"2D seismic model containing differentially dipping reflectors with low noise, high frequency and low amplitude."
Section with an undefined seismic structure of high frequency and low amplitude.
A low amplitude and high frequency subsurface model containing chaotic reflections.
Subsurface model presenting a chaotic pattern presenting high frequency and low amplitude.
2D section presenting chaotic internal geometry of high frequency and low amplitude.
A subsurface model characterized by internal structuraly disturbed reflexions with low amplitude and high frequency.
A 2D section of chaotic reflections of low amplitude and high frequency.
"A section presenting a clinoform of low noise, high frequency and low amplitude."
"Seismic section presenting an oblique clinoform pattern with low noise, low amplitude and high frequency."
"2D section with an oblique clinoform pattern with low amplitude, high frequency and low noise."
"2D subsurface model exhibiting an oblique clinoform pattern with low amplitude, high frequency and low noise."
"A seismic image exhibiting a sigmoidal clinoform set of low noise, low amplitude and high frequency."
"2D section of diverging seismic pattern presenting high frequency, low noise and low amplitude."
"A subsurface model of flaring reflection geometry with low amplitude, low noise and high frequency."
"Slice characterized by divergent foreset reflections with high frequency, low amplitude and low noise."
"Low noise, high frequency and low amplitude seismic model featuring a spreading stratigraphic unit."
"A seismic model presenting a tabular reflection pattern with high noise, high frequency and low amplitude."
"A 2D subsurface model of a tabular reflection pattern with low amplitude, high noise and high frequency."
"2D subsurface model with continuous horizontal reflections with low amplitude, high noise and high frequency."
"High noise, low amplitude and high frequency 2D section characterized by a parallel-bedded strata."
"A section exhibiting continuous horizontal reflections presenting low amplitude, high frequency and high noise."
"2D subsurface model presenting an uniform layering pattern presenting high frequency, low amplitude and high noise."
"A 2D section exhibiting continuous horizontal reflections presenting high noise, high frequency and low amplitude."
"Seismic section exhibiting a parallel-laminated unit of high frequency, low amplitude and high noise."
"Section presenting laterally uniform bedding presenting high noise, low amplitude and high frequency."
"A slice containing a parallel geometry presenting high frequency, low amplitude and high noise."
2D subsurface model exhibiting internal structuraly disturbed reflexions of high frequency and low amplitude.
